ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
FL-041,Gilchrist County,Florida,56.7,0.5,71,56.2
FL-043,Glades County,Florida,64.8,1.2,77,63.6
FL-045,Gulf County,Florida,55.6,0.9,73,54.7
FL-047,Hamilton County,Florida,54.9,0.4,72,54.5
FL-049,Hardee County,Florida,62.4,0.2,65,62.2
FL-051,Hendry County,Florida,65.7,1.2,76,64.5
FL-053,Hernando County,Florida,60.6,1.1,77,59.5
FL-055,Highlands County,Florida,63.7,1,75,62.7
FL-057,Hillsborough County,Florida,62.1,0.8,69,61.3
FL-059,Holmes County,Florida,54.2,1.1,83,53.1
FL-061,Indian River County,Florida,63.9,1.4,83,62.5
FL-063,Jackson County,Florida,55,1.3,81,53.7
FL-065,Jefferson County,Florida,56,1.9,88,54.1
FL-067,Lafayette County,Florida,55.9,0.6,73,55.3
FL-069,Lake County,Florida,61.1,1.2,79,59.9
FL-071,Lee County,Florida,65.2,0.8,70,64.4
FL-073,Leon County,Florida,56,2,86,54
FL-075,Levy County,Florida,57.9,0.8,73,57.1
FL-077,Liberty County,Florida,55.3,1.2,79,54.1
FL-079,Madison County,Florida,55.5,1.2,77,54.3
FL-081,Manatee County,Florida,61.9,-0.2,58,62.1
FL-083,Marion County,Florida,59.2,0.8,74,58.4
FL-085,Martin County,Florida,66,1.7,84,64.3
FL-086,Miami-Dade County,Florida,67.6,0.9,71,66.7
FL-087,Monroe County,Florida,68,0.9,72,67.1
FL-089,Nassau County,Florida,56.9,2.1,86,54.8
FL-091,Okaloosa County,Florida,55.8,2.4,93,53.4
FL-093,Okeechobee County,Florida,64.3,1.4,80,62.9
FL-095,Orange County,Florida,62.3,1.2,80,61.1
FL-097,Osceola County,Florida,62.9,1,77,61.9
FL-099,Palm Beach County,Florida,66.6,1.4,80,65.2
FL-101,Pasco County,Florida,61,0.9,69,60.1
FL-103,Pinellas County,Florida,62.1,0.6,67,61.5
FL-105,Polk County,Florida,62.6,1,73,61.6
